step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_internal,E_total,dE_internal_dt,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
0,1.000000e-03,1.000000e-03,-1.022357e+00,1.022503e+00,-3.800000e-01,9.898685e-01,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.900000e+00,0,0.000000e+00,0.000000e+00,-1.017513e-02,1.624521e-03,-1.017513e-02,1.624521e-03,1.275269e-02,1.770415e-09,3.518393e-02,7.693892e+00,2.164203e-03,-1.587631e+02,4.021352e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.898685e-01,9.898685e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,2.000000e-03,1.000000e-03,-1.027241e+00,1.027183e+00,-3.800000e-01,1.029218e+00,3.934912e+01,0,0.000000e+00,0.000000e+00,-1.707409e-02,1.240468e-02,7.781000e-02,7.002900e-02,6.674151e-04,1.000000e+00,1.900000e+00,0,0.000000e+00,0.000000e+00,-1.017349e-02,1.624356e-03,-1.017349e-02,1.624357e-03,1.275076e-02,1.644824e-09,2.387531e-02,7.692622e+00,2.163876e-03,-1.079620e+02,4.020234e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.029218e+00,1.029885e+00,3.934912e+01,4.001653e+01,0.000000e+00,0.000000e+00,0.000000e+00
2,3.000000e-03,1.000000e-03,-1.027700e+00,1.027850e+00,-3.800000e-01,1.055460e+00,2.624241e+01,0,0.000000e+00,0.000000e+00,-2.729641e-02,2.584593e-02,1.104119e-01,8.913187e-02,1.963673e-03,1.000000e+00,1.900000e+00,0,0.000000e+00,0.000000e+00,-1.016930e-02,1.623686e-03,-1.016930e-02,1.623692e-03,1.274551e-02,1.663324e-09,2.389220e-02,7.689455e+00,2.162985e-03,-8.388320e+01,4.018604e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.055460e+00,1.057424e+00,2.624241e+01,2.753867e+01,0.000000e+00,0.000000e+00,0.000000e+00
3,4.000000e-03,1.000000e-03,-1.027107e+00,1.027230e+00,-3.800000e-01,1.074103e+00,1.864321e+01,0,0.000000e+00,0.000000e+00,-4.214039e-02,3.866625e-02,1.655862e-01,1.452038e-01,4.582081e-03,1.000000e+00,1.900000e+00,0,0.000000e+00,0.000000e+00,-1.016697e-02,1.623312e-03,-1.016696e-02,1.623320e-03,1.274258e-02,1.671111e-09,2.403264e-02,7.687691e+00,2.162488e-03,-6.931681e+01,4.017695e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.074103e+00,1.078685e+00,1.864321e+01,2.126161e+01,0.000000e+00,0.000000e+00,0.000000e+00
4,5.000000e-03,1.000000e-03,-1.026166e+00,1.026192e+00,-3.800000e-01,1.088092e+00,1.398903e+01,0,0.000000e+00,0.000000e+00,-5.368635e-02,5.191387e-02,2.205460e-01,1.744419e-01,7.725829e-03,1.000000e+00,1.900000e+00,0,0.000000e+00,0.000000e+00,-1.016822e-02,1.623512e-03,-1.016822e-02,1.623514e-03,1.274415e-02,1.676290e-09,2.412903e-02,7.688634e+00,2.162754e-03,-5.888907e+01,4.018197e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.088092e+00,1.095818e+00,1.398903e+01,1.713277e+01,0.000000e+00,0.000000e+00,0.000000e+00
5,6.000000e-03,1.000000e-03,-1.025089e+00,1.025003e+00,-3.800000e-01,1.099016e+00,1.092374e+01,0,0.000000e+00,0.000000e+00,-6.760733e-02,6.485341e-02,2.751145e-01,2.231634e-01,1.218020e-02,1.000000e+00,1.900000e+00,0,0.000000e+00,0.000000e+00,-1.017272e-02,1.624232e-03,-1.017273e-02,1.624227e-03,1.274979e-02,1.685415e-09,2.419865e-02,7.692050e+00,2.163712e-03,-5.128450e+01,4.019981e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.099016e+00,1.111196e+00,1.092374e+01,1.537811e+01,0.000000e+00,0.000000e+00,0.000000e+00
6,7.000000e-03,1.000000e-03,-1.023950e+00,1.023950e+00,-3.800000e-01,1.107801e+00,8.784648e+00,0,0.000000e+00,0.000000e+00,-7.980818e-02,7.801119e-02,3.295226e-01,2.577501e-01,1.722198e-02,1.000000e+00,1.900000e+00,0,0.000000e+00,0.000000e+00,-1.017822e-02,1.625111e-03,-1.017823e-02,1.625100e-03,1.275668e-02,1.708774e-09,2.425058e-02,7.696214e+00,2.164881e-03,-4.557408e+01,4.022156e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.107801e+00,1.125023e+00,8.784648e+00,1.382642e+01,0.000000e+00,0.000000e+00,0.000000e+00
7,8.000000e-03,1.000000e-03,-1.022829e+00,1.022871e+00,-3.800000e-01,1.115025e+00,7.224162e+00,0,0.000000e+00,0.000000e+00,-9.325641e-02,9.100984e-02,3.837469e-01,3.025939e-01,2.348716e-02,1.000000e+00,1.900000e+00,0,0.000000e+00,0.000000e+00,-1.018252e-02,1.625797e-03,-1.018254e-02,1.625785e-03,1.276207e-02,1.753601e-09,2.428825e-02,7.699469e+00,2.165796e-03,-4.078736e+01,4.023858e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.115025e+00,1.138512e+00,7.224163e+00,1.348935e+01,0.000000e+00,0.000000e+00,0.000000e+00
8,9.000000e-03,1.000000e-03,-1.021858e+00,1.021820e+00,-3.800000e-01,1.121071e+00,6.046000e+00,0,0.000000e+00,0.000000e+00,-1.057967e-01,1.041215e-01,4.378748e-01,3.400141e-01,3.043155e-02,1.000000e+00,1.900000e+00,0,0.000000e+00,0.000000e+00,-1.018399e-02,1.626031e-03,-1.018401e-02,1.626021e-03,1.276392e-02,1.838663e-09,2.431291e-02,7.700581e+00,2.166109e-03,-3.707788e+01,4.024444e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.121071e+00,1.151502e+00,6.046000e+00,1.299039e+01,0.000000e+00,0.000000e+00,0.000000e+00
9,1.000000e-02,1.000000e-03,-1.020860e+00,1.020906e+00,-3.800000e-01,1.126203e+00,5.132181e+00,0,0.000000e+00,0.000000e+00,-1.189971e-01,1.171503e-01,4.919034e-01,3.827944e-01,3.851046e-02,1.000000e+00,1.900000e+00,0,0.000000e+00,0.000000e+00,-1.018201e-02,1.625712e-03,-1.018203e-02,1.625707e-03,1.276144e-02,1.974903e-09,2.432600e-02,7.699082e+00,2.165687e-03,-3.398756e+01,4.023666e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.126203e+00,1.164713e+00,5.132181e+00,1.321109e+01,0.000000e+00,0.000000e+00,0.000000e+00
