step,time,ramp_factor,h_a_left,h_a_center,h_a_right,h_a_center_x,h_a_center_y,h_a_min,h_a_max,center_edge_ratio,uniformity
1,5.000000e-04,3.125000e-04,4.026731e-02,4.029463e-02,4.026731e-02,-1.355253e-20,4.029463e-02,4.025195e-02,4.029463e-02,1.000679e+00,9.989408e-01
2,1.000000e-03,6.250000e-04,8.053462e-02,8.058927e-02,8.053462e-02,-2.710505e-20,8.058927e-02,8.050391e-02,8.058927e-02,1.000679e+00,9.989408e-01
3,1.500000e-03,9.375000e-04,1.208019e-01,1.208839e-01,1.208019e-01,3.930233e-19,1.208839e-01,1.207559e-01,1.208839e-01,1.000679e+00,9.989408e-01
4,2.000000e-03,1.250000e-03,1.610692e-01,1.611785e-01,1.610692e-01,-5.421011e-20,1.611785e-01,1.610078e-01,1.611785e-01,1.000679e+00,9.989408e-01
5,2.500000e-03,1.562500e-03,2.013365e-01,2.014732e-01,2.013365e-01,-5.014435e-19,2.014732e-01,2.012598e-01,2.014732e-01,1.000679e+00,9.989408e-01
6,3.000000e-03,1.875000e-03,2.416038e-01,2.417678e-01,2.416038e-01,7.860466e-19,2.417678e-01,2.415117e-01,2.417678e-01,1.000679e+00,9.989408e-01
7,3.500000e-03,2.187500e-03,2.818712e-01,2.820624e-01,2.818712e-01,-3.933088e-19,2.820624e-01,2.817637e-01,2.820624e-01,1.000679e+00,9.989408e-01
8,4.000000e-03,2.500000e-03,3.221385e-01,3.223571e-01,3.221385e-01,-1.084202e-19,3.223571e-01,3.220156e-01,3.223571e-01,1.000679e+00,9.989408e-01
9,4.500000e-03,2.812500e-03,3.624058e-01,3.626517e-01,3.624058e-01,-8.261332e-19,3.626517e-01,3.622676e-01,3.626517e-01,1.000679e+00,9.989408e-01
10,5.000000e-03,3.125000e-03,4.026731e-01,4.029463e-01,4.026731e-01,4.613569e-19,4.029463e-01,4.025195e-01,4.029463e-01,1.000679e+00,9.989408e-01
11,5.500000e-03,3.437500e-03,4.429404e-01,4.432410e-01,4.429404e-01,1.412348e-20,4.432410e-01,4.427715e-01,4.432410e-01,1.000679e+00,9.989408e-01
12,6.000000e-03,3.750000e-03,4.832077e-01,4.835356e-01,4.832077e-01,-7.035895e-19,4.835356e-01,4.830235e-01,4.835356e-01,1.000679e+00,9.989408e-01
13,6.500000e-03,4.062500e-03,5.234750e-01,5.238302e-01,5.234750e-01,-1.150823e-18,5.238302e-01,5.232754e-01,5.238302e-01,1.000679e+00,9.989408e-01
14,7.000000e-03,4.375000e-03,5.637423e-01,5.641249e-01,5.637423e-01,1.366672e-19,5.641249e-01,5.635274e-01,5.641249e-01,1.000679e+00,9.989408e-01
15,7.500000e-03,4.687500e-03,6.040096e-01,6.044195e-01,6.040096e-01,-5.810458e-19,6.044195e-01,6.037793e-01,6.044195e-01,1.000679e+00,9.989408e-01
16,8.000000e-03,5.000000e-03,6.442769e-01,6.447141e-01,6.442769e-01,7.064443e-19,6.447141e-01,6.440313e-01,6.447141e-01,1.000679e+00,9.989408e-01
17,8.500000e-03,5.312500e-03,6.845442e-01,6.850088e-01,6.845442e-01,-1.126872e-20,6.850088e-01,6.842832e-01,6.850088e-01,1.000679e+00,9.989408e-01
18,9.000000e-03,5.625000e-03,7.248115e-01,7.253034e-01,7.248115e-01,1.276221e-18,7.253034e-01,7.245352e-01,7.253034e-01,1.000679e+00,9.989408e-01
19,9.500000e-03,5.937500e-03,7.650789e-01,7.655980e-01,7.650789e-01,-9.057355e-19,7.655980e-01,7.647871e-01,7.655980e-01,1.000679e+00,9.989408e-01
20,1.000000e-02,6.250000e-03,8.053462e-01,8.058927e-01,8.053462e-01,3.817546e-19,8.058927e-01,8.050391e-01,8.058927e-01,1.000679e+00,9.989408e-01
21,1.050000e-02,6.562500e-03,8.456135e-01,8.461873e-01,8.456135e-01,1.128285e-18,8.461873e-01,8.452910e-01,8.461873e-01,1.000679e+00,9.989408e-01
22,1.100000e-02,6.875000e-03,8.858808e-01,8.864819e-01,8.858808e-01,-4.523118e-18,8.864819e-01,8.855430e-01,8.864819e-01,1.000679e+00,9.989408e-01
23,1.150000e-02,7.187500e-03,9.261481e-01,9.267766e-01,9.261481e-01,-3.235628e-18,9.267766e-01,9.257949e-01,9.267766e-01,1.000679e+00,9.989408e-01
24,1.200000e-02,7.500000e-03,9.664154e-01,9.670712e-01,9.664154e-01,-1.948138e-18,9.670712e-01,9.660469e-01,9.670712e-01,1.000679e+00,9.989408e-01
25,1.250000e-02,7.812500e-03,1.006683e+00,1.007366e+00,1.006683e+00,-6.606481e-19,1.007366e+00,1.006299e+00,1.007366e+00,1.000679e+00,9.989408e-01
26,1.300000e-02,8.125000e-03,1.046950e+00,1.047660e+00,1.046950e+00,6.268420e-19,1.047660e+00,1.046551e+00,1.047660e+00,1.000679e+00,9.989408e-01
27,1.350000e-02,8.437500e-03,1.087217e+00,1.087955e+00,1.087217e+00,1.914332e-18,1.087955e+00,1.086803e+00,1.087955e+00,1.000679e+00,9.989408e-01
28,1.400000e-02,8.750000e-03,1.127485e+00,1.128250e+00,1.127485e+00,-4.278031e-18,1.128250e+00,1.127055e+00,1.128250e+00,1.000679e+00,9.989408e-01
29,1.450000e-02,9.062500e-03,1.167752e+00,1.168544e+00,1.167752e+00,-2.990541e-18,1.168544e+00,1.167307e+00,1.168544e+00,1.000679e+00,9.989408e-01
30,1.500000e-02,9.375000e-03,1.208019e+00,1.208839e+00,1.208019e+00,1.766396e-18,1.208839e+00,1.207559e+00,1.208839e+00,1.000679e+00,9.989408e-01
31,1.550000e-02,9.687500e-03,1.248287e+00,1.249134e+00,1.248287e+00,-4.155607e-19,1.249134e+00,1.247811e+00,1.249134e+00,1.000679e+00,9.989408e-01
32,1.600000e-02,1.000000e-02,1.288554e+00,1.289428e+00,1.288554e+00,3.309702e-19,1.289428e+00,1.288063e+00,1.289428e+00,1.000679e+00,9.989408e-01
33,1.650000e-02,1.031250e-02,1.328821e+00,1.329723e+00,1.328821e+00,-1.850987e-18,1.329723e+00,1.328314e+00,1.329723e+00,1.000679e+00,9.989408e-01
34,1.700000e-02,1.062500e-02,1.369088e+00,1.370018e+00,1.369088e+00,2.905950e-18,1.370018e+00,1.368566e+00,1.370018e+00,1.000679e+00,9.989408e-01
35,1.750000e-02,1.093750e-02,1.409356e+00,1.410312e+00,1.409356e+00,-3.286413e-18,1.410312e+00,1.408818e+00,1.410312e+00,1.000679e+00,9.989408e-01
36,1.800000e-02,1.125000e-02,1.449623e+00,1.450607e+00,1.449623e+00,1.470524e-18,1.450607e+00,1.449070e+00,1.450607e+00,1.000679e+00,9.989408e-01
37,1.850000e-02,1.156250e-02,1.489890e+00,1.490901e+00,1.489890e+00,-7.114325e-19,1.490901e+00,1.489322e+00,1.490901e+00,1.000679e+00,9.989408e-01
38,1.900000e-02,1.187500e-02,1.530158e+00,1.531196e+00,1.530158e+00,-2.893389e-18,1.531196e+00,1.529574e+00,1.531196e+00,1.000679e+00,9.989408e-01
39,1.950000e-02,1.218750e-02,1.570425e+00,1.571491e+00,1.570425e+00,1.863548e-18,1.571491e+00,1.569826e+00,1.571491e+00,1.000679e+00,9.989408e-01
40,2.000000e-02,1.250000e-02,1.610692e+00,1.611785e+00,1.610692e+00,-3.184092e-19,1.611785e+00,1.610078e+00,1.611785e+00,1.000679e+00,9.989408e-01
41,2.050000e-02,1.281250e-02,1.650960e+00,1.652080e+00,1.650960e+00,-2.500366e-18,1.652080e+00,1.650330e+00,1.652080e+00,1.000679e+00,9.989408e-01
42,2.100000e-02,1.312500e-02,1.691227e+00,1.692375e+00,1.691227e+00,2.256571e-18,1.692375e+00,1.690582e+00,1.692375e+00,1.000679e+00,9.989408e-01
43,2.150000e-02,1.343750e-02,1.731494e+00,1.732669e+00,1.731494e+00,-1.007304e-18,1.732669e+00,1.730834e+00,1.732669e+00,1.000679e+00,9.989408e-01
44,2.200000e-02,1.375000e-02,1.771762e+00,1.772964e+00,1.771762e+00,-3.189261e-18,1.772964e+00,1.771086e+00,1.772964e+00,1.000679e+00,9.989408e-01
45,2.250000e-02,1.406250e-02,1.812029e+00,1.813258e+00,1.812029e+00,1.567676e-18,1.813258e+00,1.811338e+00,1.813258e+00,1.000679e+00,9.989408e-01
46,2.300000e-02,1.437500e-02,1.852296e+00,1.853553e+00,1.852296e+00,-6.142810e-19,1.853553e+00,1.851590e+00,1.853553e+00,1.000679e+00,9.989408e-01
47,2.350000e-02,1.468750e-02,1.892563e+00,1.893848e+00,1.892563e+00,-9.735132e-18,1.893848e+00,1.891842e+00,1.893848e+00,1.000679e+00,9.989408e-01
48,2.400000e-02,1.500000e-02,1.932831e+00,1.934142e+00,1.932831e+00,-4.978195e-18,1.934142e+00,1.932094e+00,1.934142e+00,1.000679e+00,9.989408e-01
49,2.450000e-02,1.531250e-02,1.973098e+00,1.974437e+00,1.973098e+00,6.717636e-18,1.974437e+00,1.972346e+00,1.974437e+00,1.000679e+00,9.989408e-01
50,2.500000e-02,1.562500e-02,2.013365e+00,2.014732e+00,2.013365e+00,-2.403215e-18,2.014732e+00,2.012598e+00,2.014732e+00,1.000679e+00,9.989408e-01
51,2.550000e-02,1.593750e-02,2.053633e+00,2.055026e+00,2.053633e+00,-5.667090e-18,2.055026e+00,2.052850e+00,2.055026e+00,1.000679e+00,9.989408e-01
52,2.600000e-02,1.625000e-02,2.093900e+00,2.095321e+00,2.093900e+00,6.028741e-18,2.095321e+00,2.093102e+00,2.095321e+00,1.000679e+00,9.989408e-01
53,2.650000e-02,1.656250e-02,2.134167e+00,2.135616e+00,2.134167e+00,-3.092110e-18,2.135616e+00,2.133354e+00,2.135616e+00,1.000679e+00,9.989408e-01
54,2.700000e-02,1.687500e-02,2.174435e+00,2.175910e+00,2.174435e+00,8.603721e-18,2.175910e+00,2.173606e+00,2.175910e+00,1.000679e+00,9.989408e-01
55,2.750000e-02,1.718750e-02,2.214702e+00,2.216205e+00,2.214702e+00,-5.171295e-19,2.216205e+00,2.213857e+00,2.216205e+00,1.000679e+00,9.989408e-01
56,2.800000e-02,1.750000e-02,2.254969e+00,2.256499e+00,2.254969e+00,-2.699086e-18,2.256499e+00,2.254109e+00,2.256499e+00,1.000679e+00,9.989408e-01
57,2.850000e-02,1.781250e-02,2.295237e+00,2.296794e+00,2.295237e+00,2.057851e-18,2.296794e+00,2.294361e+00,2.296794e+00,1.000679e+00,9.989408e-01
58,2.900000e-02,1.812500e-02,2.335504e+00,2.337089e+00,2.335504e+00,-7.063000e-18,2.337089e+00,2.334613e+00,2.337089e+00,1.000679e+00,9.989408e-01
59,2.950000e-02,1.843750e-02,2.375771e+00,2.377383e+00,2.375771e+00,4.632831e-18,2.377383e+00,2.374865e+00,2.377383e+00,1.000679e+00,9.989408e-01
60,3.000000e-02,1.875000e-02,2.416038e+00,2.417678e+00,2.416038e+00,1.368956e-18,2.417678e+00,2.415117e+00,2.417678e+00,1.000679e+00,9.989408e-01
61,3.050000e-02,1.906250e-02,2.456306e+00,2.457973e+00,2.456306e+00,6.125893e-18,2.457973e+00,2.455369e+00,2.457973e+00,1.000679e+00,9.989408e-01
62,3.100000e-02,1.937500e-02,2.496573e+00,2.498267e+00,2.496573e+00,-2.994958e-18,2.498267e+00,2.495621e+00,2.498267e+00,1.000679e+00,9.989408e-01
63,3.150000e-02,1.968750e-02,2.536840e+00,2.538562e+00,2.536840e+00,3.925816e-18,2.538562e+00,2.535873e+00,2.538562e+00,1.000679e+00,9.989408e-01
64,3.200000e-02,2.000000e-02,2.577108e+00,2.578856e+00,2.577108e+00,6.619404e-19,2.578856e+00,2.576125e+00,2.578856e+00,1.000679e+00,9.989408e-01
65,3.250000e-02,2.031250e-02,2.617375e+00,2.619151e+00,2.617375e+00,5.418877e-18,2.619151e+00,2.616377e+00,2.619151e+00,1.000679e+00,9.989408e-01
66,3.300000e-02,2.062500e-02,2.657642e+00,2.659446e+00,2.657642e+00,-3.701973e-18,2.659446e+00,2.656629e+00,2.659446e+00,1.000679e+00,9.989408e-01
67,3.350000e-02,2.093750e-02,2.697910e+00,2.699740e+00,2.697910e+00,1.054964e-18,2.699740e+00,2.696881e+00,2.699740e+00,1.000679e+00,9.989408e-01
68,3.400000e-02,2.125000e-02,2.738177e+00,2.740035e+00,2.738177e+00,5.811901e-18,2.740035e+00,2.737133e+00,2.740035e+00,1.000679e+00,9.989408e-01
69,3.450000e-02,2.156250e-02,2.778444e+00,2.780330e+00,2.778444e+00,2.548025e-18,2.780330e+00,2.777385e+00,2.780330e+00,1.000679e+00,9.989408e-01
70,3.500000e-02,2.187500e-02,2.818712e+00,2.820624e+00,2.818712e+00,-6.572825e-18,2.820624e+00,2.817637e+00,2.820624e+00,1.000679e+00,9.989408e-01
71,3.550000e-02,2.218750e-02,2.858979e+00,2.860919e+00,2.858979e+00,-1.815888e-18,2.860919e+00,2.857889e+00,2.860919e+00,1.000679e+00,9.989408e-01
72,3.600000e-02,2.250000e-02,2.899246e+00,2.901214e+00,2.899246e+00,2.941049e-18,2.901214e+00,2.898141e+00,2.901214e+00,1.000679e+00,9.989408e-01
73,3.650000e-02,2.281250e-02,2.939514e+00,2.941508e+00,2.939514e+00,-6.179802e-18,2.941508e+00,2.938393e+00,2.941508e+00,1.000679e+00,9.989408e-01
74,3.700000e-02,2.312500e-02,2.979781e+00,2.981803e+00,2.979781e+00,-1.422865e-18,2.981803e+00,2.978645e+00,2.981803e+00,1.000679e+00,9.989408e-01
75,3.750000e-02,2.343750e-02,3.020048e+00,3.022097e+00,3.020048e+00,3.334072e-18,3.022097e+00,3.018897e+00,3.022097e+00,1.000679e+00,9.989408e-01
